#Minuto Promedio Desviacion
1188 0.5 0.67082
1189 0.5 0.67082
1190 0.5 0.67082
1191 0.5 0.67082
1192 0.5 0.67082
1193 0.5 0.67082
1194 0.5 0.67082
1195 0.5 0.67082
1196 0.5 0.67082
1197 0.4 0.663325
1198 0.4 0.663325
1199 0.4 0.663325
1200 0.4 0.663325
1201 0.4 0.663325
1202 0.5 0.806226
1203 0.5 0.806226
1204 0.5 0.806226
1205 0.5 0.806226
1206 0.4 0.663325
1207 0.4 0.663325
1208 0.4 0.663325
1209 0.4 0.663325
1210 0.5 0.806226
1211 0.3 0.458258
1212 0.3 0.458258
1213 0.3 0.458258
1214 0.2 0.4
1215 0.2 0.4
1216 0.2 0.4
1217 0.2 0.4
1218 0.2 0.4
1219 0.2 0.4
1220 0.2 0.4
1221 0.2 0.4
1222 0.2 0.4
1223 0.2 0.4
1224 0.2 0.4
1225 0.1 0.3
1226 0.1 0.3
1227 0.1 0.3
1228 0.1 0.3
1229 0.1 0.3
1230 0.1 0.3
1231 0.1 0.3
1232 0.1 0.3
1233 0.1 0.3
1234 0 0
1235 0 0
1236 0 0
1237 0 0
1238 0 0
1239 0 0
1240 0 0
1241 0 0
1242 0 0
1243 0 0
1244 0 0
1245 0 0
1246 0 0
1247 0 0
1248 0 0
1249 0 0
1250 0 0
1251 0 0
1252 0 0
1253 0 0
1254 0 0
1255 0 0
1256 0 0
1257 0 0
1258 0 0
1259 0 0
1260 0.1 0.3
1261 0.1 0.3
1262 0.1 0.3
1263 0 0
1264 0 0
1265 0 0
1266 0 0
1267 0 0
1268 0 0
1269 0 0
1270 0.1 0.3
1271 0.1 0.3
1272 0.1 0.3
1273 0.1 0.3
1274 0.1 0.3
1275 0.1 0.3
1276 0.1 0.3
1277 0.1 0.3
1278 0.1 0.3
1279 0.1 0.3
1280 0.2 0.4
1281 0.2 0.4
1282 0.2 0.4
1283 0.2 0.4
1284 0.2 0.4
1285 0.2 0.4
1286 0.2 0.4
1287 0.2 0.4
1288 0.2 0.4
1289 0.3 0.458258
1290 0.3 0.458258
1291 0.4 0.489898
1292 0.4 0.489898
1293 0.4 0.489898
1294 0.4 0.489898
1295 0.4 0.489898
1296 0.4 0.489898
1297 0.4 0.489898
1298 0.4 0.489898
1299 0.4 0.489898
1300 0.3 0.458258
1301 0.3 0.458258
1302 0.3 0.458258
1303 0.3 0.458258
1304 0.4 0.663325
1305 0.5 0.67082
1306 0.5 0.67082
1307 0.6 0.8
1308 0.6 0.8
1309 0.5 0.806226
1310 0.5 0.806226
1311 0.5 0.806226
1312 0.4 0.663325
1313 0.4 0.663325
1314 0.3 0.640312
1315 0.3 0.640312
1316 0.3 0.640312
1317 0.3 0.640312
1318 0.3 0.640312
1319 0.4 0.663325
1320 0.4 0.663325
1321 0.4 0.663325
1322 0.4 0.663325
1323 0.5 0.806226
1324 0.5 0.806226
1325 0.5 0.806226
1326 0.5 0.806226
